z_m,z_over_rayleigh,p_sim_pa,p_analytic_pa,p_sim_over_p0,p_analytic_over_p0
1.506768614053726196e-01,1.645094454288482666e-01,3.086755371093750000e+02,3.044219665527343750e+02,7.499405741691589355e-01,7.396063208580017090e-01
1.511279791593551636e-01,1.650019735097885132e-01,3.139132995605468750e+02,3.096745605468750000e+02,7.626659274101257324e-01,7.523677349090576172e-01
1.515791118144989014e-01,1.654945164918899536e-01,3.198145751953125000e+02,3.148885192871093750e+02,7.770033478736877441e-01,7.650352716445922852e-01
1.520302295684814453e-01,1.659870445728302002e-01,3.239201965332031250e+02,3.200639038085937500e+02,7.869781255722045898e-01,7.776091098785400391e-01
1.524813622236251831e-01,1.664796024560928345e-01,3.299067993164062500e+02,3.251997985839843750e+02,8.015228509902954102e-01,7.900869846343994141e-01
1.529324799776077271e-01,1.669721305370330811e-01,3.343454895019531250e+02,3.302985229492187500e+02,8.123068213462829590e-01,8.024745583534240723e-01
1.533836126327514648e-01,1.674646735191345215e-01,3.392153625488281250e+02,3.353599548339843750e+02,8.241384029388427734e-01,8.147714734077453613e-01
1.538347303867340088e-01,1.679572165012359619e-01,3.452710876464843750e+02,3.403840637207031250e+02,8.388510346412658691e-01,8.269777894020080566e-01
1.542858630418777466e-01,1.684497594833374023e-01,3.489152221679687500e+02,3.453680114746093750e+02,8.477045893669128418e-01,8.390865325927734375e-01
1.547369807958602905e-01,1.689422875642776489e-01,3.546031799316406250e+02,3.503159790039062500e+02,8.615237474441528320e-01,8.511078357696533203e-01
1.551881134510040283e-01,1.694348305463790894e-01,3.590908203125000000e+02,3.552252197265625000e+02,8.724266886711120605e-01,8.630350232124328613e-01
1.556392312049865723e-01,1.699273735284805298e-01,3.635675964355468750e+02,3.600970764160156250e+02,8.833031654357910156e-01,8.748714327812194824e-01
1.560903638601303101e-01,1.704199165105819702e-01,3.698206787109375000e+02,3.649329528808593750e+02,8.984953165054321289e-01,8.866204023361206055e-01
1.565414816141128540e-01,1.709124445915222168e-01,3.729821472167968750e+02,3.697308654785156250e+02,9.061762690544128418e-01,8.982771039009094238e-01
1.569926142692565918e-01,1.714050024747848511e-01,3.783453369140625000e+02,3.744927368164062500e+02,9.192063212394714355e-01,9.098463058471679688e-01
1.574437320232391357e-01,1.718975305557250977e-01,3.829284057617187500e+02,3.792172546386718750e+02,9.303411245346069336e-01,9.213247299194335938e-01
1.578948646783828735e-01,1.723900735378265381e-01,3.869898681640625000e+02,3.839037475585937500e+02,9.402086138725280762e-01,9.327107667922973633e-01
1.583459824323654175e-01,1.728826016187667847e-01,3.932890014648437500e+02,3.885543212890625000e+02,9.555126428604125977e-01,9.440095424652099609e-01
1.587971150875091553e-01,1.733751595020294189e-01,3.961421508789062500e+02,3.931690673828125000e+02,9.624444842338562012e-01,9.552212357521057129e-01
1.592482328414916992e-01,1.738676875829696655e-01,4.011562500000000000e+02,3.977478942871093750e+02,9.746264219284057617e-01,9.663456678390502930e-01
1.596993654966354370e-01,1.743602305650711060e-01,4.058804931640625000e+02,4.022894287109375000e+02,9.861041903495788574e-01,9.773795604705810547e-01
1.601504832506179810e-01,1.748527735471725464e-01,4.095061035156250000e+02,4.067965087890625000e+02,9.949127435684204102e-01,9.883297085762023926e-01
1.606016159057617188e-01,1.753453165292739868e-01,4.155221252441406250e+02,4.112665100097656250e+02,1.009528994560241699e+00,9.991897344589233398e-01
1.610527336597442627e-01,1.758378446102142334e-01,4.184197387695312500e+02,4.157007446289062500e+02,1.016568779945373535e+00,1.009962916374206543e+00
1.615038663148880005e-01,1.763304024934768677e-01,4.230630187988281250e+02,4.201005249023437500e+02,1.027849912643432617e+00,1.020652413368225098e+00
1.619549840688705444e-01,1.768229305744171143e-01,4.279719848632812500e+02,4.244640197753906250e+02,1.039776444435119629e+00,1.031253695487976074e+00
1.624061167240142822e-01,1.773154735565185547e-01,4.311436462402343750e+02,4.287926330566406250e+02,1.047482132911682129e+00,1.041770219802856445e+00
1.628572344779968262e-01,1.778080016374588013e-01,4.368521728515625000e+02,4.330856018066406250e+02,1.061351180076599121e+00,1.052200198173522949e+00
1.633083671331405640e-01,1.783005595207214355e-01,4.398419494628906250e+02,4.373443908691406250e+02,1.068615078926086426e+00,1.062547087669372559e+00
1.637594848871231079e-01,1.787930876016616821e-01,4.440933532714843750e+02,4.415690612792968750e+02,1.078943967819213867e+00,1.072811126708984375e+00
