theta_deg,SPL_sim_dB,SPL_analytic_dB,directivity_sim,directivity_analytic,p_far_abs_sim_pa,p_far_abs_analytic_pa,p_far_real,p_far_imag,r_far_m
2.750000000000000000e+00,1.295570853535066931e+02,1.296019217629274465e+02,9.065294025179782000e-01,9.065044789189944385e-01,8.499615134803163130e+01,8.543603434254470130e+01,-6.484103756177698585e+01,5.495439556477465715e+01,4.000000000000000000e+00
3.000000000000000444e+00,1.293919492014499326e+02,1.294367260256749148e+02,8.894572655960402141e-01,8.894267098811626804e-01,8.339546864582597152e+01,8.382649253007603818e+01,-6.357353255090675503e+01,5.397416187080391126e+01,4.000000000000000000e+00
3.250000000000000000e+00,1.292112701289954657e+02,1.292559762917850037e+02,8.711463742512869368e-01,8.711093608980585712e-01,8.167864039101914386e+01,8.210012306011923044e+01,-6.221444686348278452e+01,5.292223443503024782e+01,4.000000000000000000e+00
3.500000000000000000e+00,1.290147224617198276e+02,1.290593449701711961e+02,8.516550972183071222e-01,8.516107100576770783e-01,7.985113923324097129e+01,8.026241851306757269e+01,-6.076820082559872560e+01,5.180183592563236772e+01,4.000000000000000000e+00
3.749999999999999556e+00,1.288019411968656129e+02,1.288464647715803437e+02,8.310452791962685826e-01,8.309925009950942520e-01,7.791876372838596865e+01,7.831919808943190731e+01,-5.923947569943482705e+01,5.061638331426008364e+01,4.000000000000000000e+00
4.000000000000000000e+00,1.285725181349337731e+02,1.286169247645906637e+02,8.093819849074864736e-01,8.093196859138442889e-01,7.588761434155760810e+01,7.627658339017597200e+01,-5.763319381672867081e+01,4.936947418128298892e+01,4.000000000000000000e+00
4.250000000000000000e+00,1.283259973590713230e+02,1.283702657607062747e+02,7.867332311743977513e-01,7.866601563999942037e-01,7.376406832661881197e+01,7.414097304654059428e+01,-5.595449778195255419e+01,4.806487235043443462e+01,4.000000000000000000e+00
4.500000000000000000e+00,1.280618699426981379e+02,1.281059749037698907e+02,7.631697083977578844e-01,7.630844633575966096e-01,7.155475361200164741e+01,7.191901632458205995e+01,-5.420872884998698993e+01,4.670649292060848978e+01,4.000000000000000000e+00
4.750000000000000000e+00,1.277795677376736876e+02,1.278234793090768306e+02,7.387644928814052214e-01,7.386655274417879280e-01,6.926652182829168680e+01,6.961758583413453039e+01,-5.240140458684717117e+01,4.529838676503570127e+01,4.000000000000000000e+00
5.000000000000000000e+00,1.274784560595672502e+02,1.275221385595127543e+02,7.135927515084713457e-01,7.134783414056021789e-01,6.690642061868423696e+01,6.724374947565810601e+01,-5.053819592477388056e+01,4.384472457061924899e+01,4.000000000000000000e+00
