time	WettedArea_bottom	maxU
7.72e-05	4.4383149185216e-06	6.5388757260626e-07
7.73e-05	4.4383149185218e-06	6.5257901906332e-07
7.74e-05	4.4383149185221e-06	6.5127390238121e-07
7.75e-05	4.4383149185223e-06	6.499722123206e-07
7.76e-05	4.4383149185226e-06	6.4867393866977e-07
7.77e-05	4.4383149185228e-06	6.4737907124314e-07
7.78e-05	4.438314918523e-06	6.4608759988276e-07
7.79e-05	4.4383149185232e-06	6.4479951445701e-07
7.8e-05	4.4383149185235e-06	6.4351480486136e-07
7.81e-05	4.4383149185237e-06	6.4223346101873e-07
7.82e-05	4.4383149185239e-06	6.4095547287735e-07
7.83e-05	4.4383149185242e-06	6.3968083041319e-07
7.84e-05	4.4383149185244e-06	6.3840952362902e-07
7.85e-05	4.4383149185246e-06	6.3714154255478e-07
7.86e-05	4.4383149185249e-06	6.3587687724751e-07
7.87e-05	4.4383149185251e-06	6.3461551779136e-07
7.88e-05	4.4383149185253e-06	6.3335745429782e-07
7.89e-05	4.4383149185255e-06	6.3210267690694e-07
7.9e-05	4.4383149185258e-06	6.3085117578363e-07
7.91e-05	4.438314918526e-06	6.2960294111326e-07
7.92e-05	4.4383149185262e-06	6.2835796310673e-07
7.93e-05	4.4383149185264e-06	6.2711623200402e-07
7.94e-05	4.4383149185267e-06	6.2587773807265e-07
7.95e-05	4.4383149185269e-06	6.2464247160839e-07
7.96e-05	4.4383149185271e-06	6.2341042293458e-07
7.97e-05	4.4383149185273e-06	6.2218158240198e-07
7.98e-05	4.4383149185276e-06	6.2095594038967e-07
7.99e-05	4.4383149185278e-06	6.1973348730417e-07
8e-05	4.438314918528e-06	6.1851421357927e-07
8.01e-05	4.4383149185282e-06	6.1729810967634e-07
